"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
63.544757,16.13583946,63.544757,16.32210541,63.544757,0,63.544757,0.09211099893,
64.047996,15.98115158,64.047996,16.24940872,64.047996,0.08680000156,64.047996,0.1177118868,
64.551144,16.01015472,64.551144,16.18077278,64.551144,0,64.551144,0.06383384019,
65.054383,16.00048828,65.054383,16.13385201,65.054383,0,65.054383,0.02732414193,
65.557579,16.05849457,65.557579,16.10336876,65.557579,0,65.557579,0.01169612911,
66.060742,16.04882812,66.060742,16.08172607,66.060742,0,66.060742,0.005006540101,
66.563966,16.05849457,66.563966,16.06344223,66.563966,0,66.563966,0.002454715315,
67.055191,16.02949142,67.055191,16.05020714,67.055191,0,67.055191,0.001416974585,
67.566471,15.99081993,67.566471,16.04077911,67.566471,0,67.566471,0.0005944068544,
68.069558,16.01982307,68.069558,16.03586769,68.069558,0,68.069558,0.0002544363961,
68.560747,16.00048828,68.560747,16.03110123,68.560747,0,68.560747,0.0001111344318,
69.063983,16.00048828,69.063983,16.02662659,69.063983,0,69.063983,0.0002034013742,
69.567134,16.01982307,69.567134,16.02005577,69.567134,0,69.567134,8.706616791e-05,
70.070421,16.01982307,70.070421,16.01688004,70.070421,0,70.070421,3.726877185e-05,
70.561614,16.00048828,70.561614,16.01360512,70.561614,0,70.561614,1.627850361e-05,
71.06481,15.98115158,71.06481,16.00958061,71.06481,0,71.06481,6.968029084e-06,
71.567936,16.01015472,71.567936,16.0069561,71.567936,0,71.567936,2.982671958e-06,
72.071164,16.00048828,72.071164,16.00383377,72.071164,0,72.071164,1.276735702e-06,
72.574388,16.01015472,72.574388,16.00121498,72.574388,0,72.574388,5.465079767e-07,
73.065586,16.00048828,73.065586,16.00123024,73.065586,0,73.065586,2.387074289e-07,
73.56875,15.97148418,73.56875,15.99751949,73.56875,0,73.56875,1.021789302e-07,
74.072025,15.98115158,74.072025,15.99603653,74.072025,0,74.072025,4.373779561e-08,
74.575153,16.00048828,74.575153,15.99396038,74.575153,0,74.575153,1.872201238e-08,
75.078348,16.00048828,75.078348,15.99009228,75.078348,0,75.078348,8.013976149e-09,
75.581584,15.92314434,75.581584,15.98743439,75.581584,0,75.581584,3.430391082e-09,
76.084864,16.00048828,76.084864,15.98480225,76.084864,0,76.084864,1.468382416e-09,
76.587152,15.98115158,76.587152,15.98184013,76.587152,0,76.587152,6.285425513e-10,
77.079976,15.96181583,77.079976,15.9783144,77.079976,0,77.079976,2.745390582e-10,
77.582414,15.98115158,77.582414,15.97393513,77.582414,0,77.582414,1.175167186e-10,
78.086437,16.01015472,78.086437,15.9739027,78.086437,0,78.086437,5.030315053e-11,
78.589543,15.90380764,78.589543,15.97245979,78.589543,0,78.589543,2.153231586e-11,
79.092013,15.97148418,79.092013,15.97137356,79.092013,0,79.092013,9.21693017e-12,
79.595197,15.95214748,79.595197,15.96941566,79.595197,0,79.595197,3.945315429e-12,
80.08646,15.97148418,80.08646,15.96653843,80.08646,0,80.08646,1.723262158e-12,
80.589647,15.96181583,80.589647,15.96146011,80.589647,0.06199999899,80.589647,0.01066227071,
81.08874,15.88447189,81.08874,15.94983959,81.08874,0.08680000156,81.08874,0.04232240468,
81.592774,15.91347599,81.592774,15.92931938,81.592774,0.4463999867,81.592774,0.1581835002,
82.095976,15.77812481,82.095976,15.89979553,82.095976,0.4959999919,82.095976,0.3396913409,
82.598373,15.83613205,82.598373,15.87729454,82.598373,0.4959999919,82.598373,0.4283600152,
