"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
34.646368,12.27832031,34.646368,12.36576939,34.646368,0,34.646368,0.0214008633,
35.149527,12.24931622,35.149527,12.32374001,35.149527,0,35.149527,0.01096708886,
35.652806,12.19130802,35.652806,12.28719521,35.652806,0,35.652806,0.004694472998,
36.155992,12.24931622,36.155992,12.2660408,36.155992,0,36.155992,0.002009473508,
36.659197,12.22031212,36.659197,12.25067997,36.659197,0,36.659197,0.0008601573063,
37.162365,12.23964787,37.162365,12.23871136,37.162365,0,37.162365,0.000368191133,
37.653556,12.22031212,37.653556,12.23113441,37.653556,0,37.653556,0.0001608210441,
38.156714,12.20097637,38.156714,12.22621346,38.156714,0,38.156714,6.883959577e-05,
38.659921,12.22998047,38.659921,12.22157097,38.659921,0,38.659921,2.946686254e-05,
39.163178,12.21064377,39.163178,12.21809483,39.163178,0,39.163178,1.261332272e-05,
39.666396,12.22998047,39.666396,12.21775055,39.666396,0,39.666396,5.399145721e-06,
40.169511,12.22031212,40.169511,12.21604061,40.169511,0,40.169511,2.311109711e-06,
40.672755,12.22998047,40.672755,12.21455097,40.672755,0,40.672755,9.892728485e-07,
41.175938,12.26865196,41.175938,12.23220825,41.175938,0,41.175938,4.234591415e-07,
41.679148,12.25898361,41.679148,12.24497986,41.679148,0,41.679148,1.812620809e-07,
42.17118,12.24931622,42.17118,12.24863243,42.17118,0,42.17118,7.917287803e-08,
42.674381,12.22998047,42.674381,12.25338078,42.674381,0,42.674381,3.389004277e-08,
43.177567,12.22998047,43.177567,12.25519276,43.177567,0,43.177567,1.450666876e-08,
43.680654,12.25898361,43.680654,12.25828552,43.680654,0,43.680654,6.209593728e-09,
44.18389,12.24931622,44.18389,12.25825596,44.18389,0,44.18389,2.658022247e-09,
44.675145,12.22998047,44.675145,12.25733566,44.675145,0,44.675145,1.16098875e-09,
45.178385,12.26865196,45.178385,12.2589159,45.178385,0,45.178385,4.969625822e-10,
45.681552,12.23964787,45.681552,12.24058056,45.681552,0,45.681552,2.12725379e-10,
