"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
68.171984,16.17451096,68.171984,16.32146072,68.171984,0,68.171984,0.2059690356,
68.675207,16.01015472,68.675207,16.24404526,68.675207,0.7750487924,68.675207,0.3590700328,
69.178379,16.03915977,69.178379,16.17473984,69.178379,0.2980957031,69.178379,0.3509204388,
69.681546,16.03915977,69.681546,16.12711334,69.681546,0.08942870796,69.681546,0.287899226,
70.184805,14.92734337,70.184805,15.82693481,70.184805,14.93459415,70.184805,6.203286171,
70.67593,15.18837833,70.67593,15.56252384,70.67593,12.31135273,70.67593,9.828061104,
71.179234,14.69531155,71.179234,15.32183743,71.179234,16.57411957,71.179234,12.73276138,
71.681581,14.7049799,71.681581,15.12641621,71.681581,16.45488167,71.681581,14.45106602,
72.184781,14.52128887,72.184781,14.96181774,72.184781,18.4223156,72.184781,15.80362701,
72.687209,14.35693264,72.687209,14.81427956,72.687209,18.9588871,72.687209,17.09082985,
73.192006,14.51162052,73.192006,14.6953249,73.192006,19.16755295,73.192006,18.13211632,
73.682351,14.09589767,73.682351,14.58822536,73.682351,19.7339344,73.682351,18.50255775,
74.184817,14.55996037,74.184817,14.5345192,74.184817,18.27326775,74.184817,18.65939713,
74.688816,14.43427658,74.688816,14.50641632,74.688816,17.20012093,74.688816,18.12408447,
75.191926,14.60830021,75.191926,14.47127914,75.191926,17.40878868,75.191926,17.78926468,
75.69526,14.25058556,75.69526,14.35316563,75.69526,22.29755783,75.69526,20.39579582,
76.198388,13.97021389,76.198388,14.28644943,76.198388,20.50898361,76.198388,20.5670166,
76.701594,14.52128887,76.701594,14.20851612,76.701594,20.50898361,76.701594,20.91865349,
77.204773,13.60283184,77.204773,14.18316746,77.204773,21.22441292,77.204773,20.83003616,
77.707931,14.49228477,77.707931,14.19582462,77.707931,19.67431641,77.707931,20.69128799,
78.211183,14.62763596,78.211183,14.1966877,78.211183,19.3166008,78.211183,20.26449203,
78.710375,14.37626934,78.710375,14.15736866,78.710375,21.31384277,78.710375,20.44042015,
79.201575,14.39560509,79.201575,14.17429829,79.201575,19.4358387,79.201575,20.70780182,
79.704797,13.69951153,79.704797,14.15391254,79.704797,19.79355431,79.704797,20.28979683,
80.207935,14.52128887,80.207935,14.21165466,80.207935,15.62021446,80.207935,17.85951805,
80.711246,14.41494083,80.711246,14.29800129,80.711246,15.73945332,80.711246,15.70597267,
81.214462,14.14423752,81.214462,14.30270576,81.214462,16.09716797,81.214462,15.82703209,
81.717748,14.2989254,81.717748,14.29761219,81.717748,15.41154766,81.717748,15.89210892,
82.208848,14.14423752,82.208848,14.30247784,82.208848,15.50097656,82.208848,15.87174511,
82.71117,14.3085928,82.71117,14.29138947,82.71117,16.69335938,82.71117,15.95550251,
83.215161,14.36660099,83.215161,14.28719521,83.215161,15.50097656,83.215161,15.86144257,
83.717564,14.33759689,83.717564,14.28403473,83.717564,15.44135761,83.717564,15.60024929,
84.220778,14.36660099,84.220778,14.27299404,84.220778,14.60668945,84.220778,15.59561539,
84.724009,14.20224571,84.724009,14.25751686,84.724009,15.35192871,84.724009,15.65657616,
85.227204,14.22158146,85.227204,14.24151611,85.227204,15.08364201,85.227204,15.5728159,
85.71834,14.45361233,85.71834,14.24081612,85.71834,15.38173771,85.71834,15.52511597,
86.221579,14.21191311,86.221579,14.15434361,86.221579,21.52250862,86.221579,17.20823479,
86.724815,13.35146427,86.724815,14.0020895,86.724815,20.09165001,86.724815,18.90747643,
87.227994,13.77685452,87.227994,13.95650482,87.227994,17.88574219,87.227994,19.40679932,
87.731149,14.19257736,87.731149,13.89206886,87.731149,18.9588871,87.731149,19.48390961,
88.222385,13.69951153,88.222385,13.82043362,88.222385,19.88298225,88.222385,19.68477631,
88.725548,13.97021389,88.725548,13.83206177,88.725548,18.54155159,88.725548,19.13259506,
89.224841,13.60283184,89.224841,13.79155827,89.224841,20.00222206,89.224841,19.21752548,
89.727997,13.8735342,89.727997,13.78020763,89.727997,19.40603065,89.727997,19.5015831,
90.230431,14.00888634,90.230431,13.75993824,90.230431,19.7339344,90.230431,19.52575302,
90.734434,14.27958965,90.734434,13.81758785,90.734434,14.8749752,90.734434,17.75937653,
91.224857,14.08623028,91.224857,13.91382694,91.224857,13.8614502,91.224857,15.64347553,
91.727964,14.17324162,91.727964,13.97793102,91.727964,14.6663084,91.727964,14.85924721,
92.231184,13.9315424,92.231184,13.98789024,92.231184,15.76926231,92.231184,15.18721008,
92.734455,14.07656193,92.734455,14.01303768,92.734455,15.32211876,92.734455,15.08538628,
93.237603,14.06689358,93.237603,14.010355,93.237603,15.38173771,93.237603,15.0513649,
93.740837,14.15390587,93.740837,14.01243496,93.740837,14.6663084,93.740837,15.14437485,
94.231986,14.04755783,94.231986,14.01360798,94.231986,15.62021446,94.231986,15.02066326,
94.735221,14.10556602,94.735221,14.0244627,94.735221,15.44135761,94.735221,15.03077316,
95.238311,13.62216759,95.238311,14.01018143,95.238311,15.56059551,95.238311,15.09761143,
95.74156,13.8928709,95.74156,14.00551033,95.74156,15.32211876,95.74156,15.16928959,
96.232718,14.01855373,96.232718,13.99179268,96.232718,14.99421406,96.232718,15.27768517,
96.736013,13.75751877,96.736013,13.96039104,96.736013,21.91003418,96.736013,15.83232307,
97.239262,13.80585861,97.239262,13.82905769,97.239262,19.67431641,97.239262,17.72768784,
97.740714,13.70917892,97.740714,13.75438309,97.740714,18.39250374,97.740714,18.24658775,
98.244771,13.39980412,98.244771,13.70623779,98.244771,19.04831505,98.244771,18.40150261,
98.748012,13.44814396,98.748012,13.65319824,98.748012,17.11069298,98.748012,18.31921768,
99.251199,13.31279278,99.251199,13.61754417,99.251199,19.79355431,99.251199,18.60269356,
99.754435,13.68017483,99.754435,13.60314465,99.754435,18.63098145,99.754435,18.60884094,
100.257541,13.54482365,100.257541,13.59489155,100.257541,17.91555023,100.257541,18.39783859,
100.756817,13.57382774,100.756817,13.55939388,100.756817,18.33288574,100.756817,18.31445885,
101.259946,13.47714806,101.259946,13.59392548,101.259946,16.36545372,101.259946,17.55485153,
101.763187,13.94121075,101.763187,13.68597507,101.763187,12.90754414,101.763187,15.6411314,
102.254529,13.96054649,102.254529,13.77257633,102.254529,14.60668945,102.254529,14.63014126,
102.757571,14.00888634,102.757571,13.80585289,102.757571,13.80183125,102.757571,14.61246586,
103.260744,13.86386681,103.260744,13.83235359,103.260744,13.9508791,103.260744,14.48311806,
103.76335,13.9025383,103.76335,13.85283279,103.76335,14.4874506,103.76335,14.45214176,
104.266389,13.75751877,104.266389,13.86686039,104.266389,14.4576416,104.266389,14.47212696,
104.769593,13.9315424,104.769593,13.87535954,104.769593,14.60668945,104.769593,14.51362991,
105.272783,13.67050743,105.272783,13.87589455,105.272783,14.2787838,105.272783,14.4046278,
105.763982,13.97988224,105.763982,13.87523937,105.763982,13.71240234,105.763982,14.42355824,
106.267174,13.8928709,106.267174,13.87888241,106.267174,14.21916485,106.267174,14.29803562,
106.7704,13.95087814,106.7704,13.87290192,106.7704,13.77202129,106.7704,14.24488544,
107.273527,13.99921799,107.273527,13.88566303,107.273527,14.070117,107.273527,14.08060932,
107.776785,13.65117168,107.776785,13.70295238,107.776785,18.4223156,107.776785,16.85229874,
109.284849,13.65117168,109.284849,13.48116493,109.284849,17.97517204,109.284849,17.86894226,
109.788958,13.24511623,109.788958,13.42772293,109.788958,18.54155159,109.788958,17.99686813,
110.291926,13.20644474,110.291926,13.43611717,110.291926,17.17031097,110.291926,18.17384338,
110.783169,13.20644474,110.783169,13.43315697,110.783169,18.4223156,110.783169,18.04086304,
111.2864,13.23544884,111.2864,13.44138527,111.2864,17.67707634,111.2864,17.94924545,
111.789594,13.94121075,111.789594,13.46556377,111.789594,16.21640587,111.789594,17.30739021,
112.292736,13.44814396,112.292736,13.54214001,112.292736,13.32487774,112.292736,15.87490273,
112.783961,13.88320255,112.783961,13.63465691,112.783961,14.04030704,112.783961,14.67104816,
113.28709,13.63183498,113.28709,13.67448807,113.28709,13.53354454,113.28709,14.47955036,
113.79038,13.58349514,113.79038,13.69383717,113.79038,15.02402306,113.79038,14.47502422,
114.292748,13.85419846,114.292748,13.72920799,114.292748,14.4576416,114.292748,14.26212788,
