"battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y"
80.153198,12.24931622,80.153198,12.33760166,80.153198,0,80.153198,0,
80.656379,12.16230392,80.656379,12.29905701,80.656379,0,80.656379,0.01000724826,
81.159576,12.22031212,81.159576,12.26586628,81.159576,0,81.159576,0.004283612594,
81.662825,12.15263653,81.662825,12.24326706,81.662825,0,81.662825,0.001833604998,
82.166007,12.17197227,82.166007,12.22749043,82.166007,0,82.166007,0.0007848764071,
82.669219,12.21064377,82.669219,12.21649265,82.669219,0,82.669219,0.0003359672264,
83.16037,12.11396408,83.16037,12.20053959,83.16037,1.669335961,83.16037,0.1696286201,
83.663652,11.64990234,83.663652,12.08427811,83.663652,8.704394341,83.663652,3.627761126,
84.162856,11.42753887,84.162856,11.9394083,84.162856,12.87773418,84.162856,7.93400383,
84.666046,11.16650391,84.666046,11.73360252,84.666046,18.60117149,84.666046,13.59843063,
85.169152,11.36953068,85.169152,11.58099365,85.169152,16.66354942,85.169152,16.51205063,
85.672417,11.30185509,85.672417,11.46820545,85.672417,19.137743,85.672417,17.76932716,
86.175597,11.33085918,86.175597,11.3948822,86.175597,18.24345589,86.175597,18.32875633,
86.678817,11.33085918,86.678817,11.33367825,86.678817,19.0185051,86.678817,18.85515404,
87.170003,11.18583965,87.170003,11.28629398,87.170003,19.2569828,87.170003,19.04652405,
87.673189,11.28251934,87.673189,11.2548418,87.673189,18.4223156,87.673189,19.17975998,
88.176366,11.15683556,88.176366,11.22425365,88.176366,20.24069786,88.176366,19.40416145,
88.679613,11.26318359,88.679613,11.08457947,88.679613,22.53603554,88.679613,24.38417244,
89.182965,11.08915997,89.182965,11.07562447,89.182965,21.88022423,89.182965,22.91953659,
89.674023,10.86679649,89.674023,11.05272293,89.674023,23.90727425,89.674023,22.45665359,
90.177259,10.85712814,90.177259,11.03782272,90.177259,21.07536507,90.177259,21.94105911,
90.680368,11.04082012,90.680368,11.02259827,90.680368,21.19460487,90.680368,21.73367882,
91.183588,10.93447208,91.183588,11.02645493,91.183588,22.74470139,91.183588,21.3641777,
91.674732,11.02148438,91.674732,11.01952267,91.674732,22.11870003,91.674732,20.92678642,
92.177968,10.88613224,92.177968,11.01560116,92.177968,20.24069786,92.177968,20.56481743,
92.681221,11.2051754,92.681221,11.04859352,92.681221,17.49821663,92.681221,19.2954464,
93.184378,11.36953068,93.184378,11.11550045,93.184378,13.77202129,93.184378,17.0497303,
93.687796,11.29218674,93.687796,11.19906616,93.687796,13.89125919,93.687796,14.46834946,
94.19077,11.07949162,94.19077,11.23832321,94.19077,16.09716797,94.19077,14.33218384,
94.682002,10.99248028,94.682002,11.22144127,94.682002,16.06735802,94.682002,15.58641338,
95.18518,11.28251934,95.18518,11.20313931,95.18518,17.05107307,95.18518,16.20228386,
95.6884,11.2341795,95.6884,11.19979191,95.6884,16.75297737,95.6884,16.29270744,
96.191595,11.11816406,96.191595,11.19649696,96.191595,16.54431152,96.191595,16.32815552,
96.682813,11.28251934,96.682813,11.19135475,96.682813,16.24621582,96.682813,16.30393028,
97.186028,11.18583965,97.186028,11.17836666,97.186028,16.72316742,97.186028,16.44908524,
97.689203,11.2051754,97.689203,11.17029572,97.689203,16.81259727,97.689203,16.47053528,
98.191779,11.10849571,98.191779,11.16544724,98.191779,16.60392952,98.191779,16.44238663,
98.695582,10.98281193,98.695582,11.15235901,98.695582,16.30583382,98.695582,16.56048203,
99.197959,11.05048752,99.197959,11.0753231,99.197959,22.32736778,99.197959,19.66011047,
99.688414,11.04082012,99.688414,11.0234642,99.688414,19.0185051,99.688414,20.00301933,
100.192437,11.08915997,100.192437,10.97922611,100.192437,19.22717285,100.192437,20.18354034,
100.695577,10.64443302,100.695577,10.95674324,100.695577,18.51174355,100.695577,20.10251427,
101.198702,11.14716721,101.198702,10.93814373,101.198702,18.39250374,101.198702,19.77425194,
101.702023,10.90546799,101.702023,10.92491817,101.702023,19.7339344,101.702023,19.75654411,
102.193174,10.92480469,102.193174,10.92053699,102.193174,20.92631721,102.193174,19.85144615,
102.696443,10.63476562,102.696443,10.91154003,102.696443,20.71765137,102.696443,19.84331512,
103.199607,11.01181602,103.199607,10.9335413,103.199607,15.97792912,103.199607,18.65188026,
103.702774,11.14716721,103.702774,10.99472141,103.702774,13.08640099,103.702774,16.50132561,
