"vehicle_air_data->baro_alt_meter_x","vehicle_air_data->baro_alt_meter_y","battery_status->voltage_v_x","battery_status->voltage_v_y","battery_status->voltage_filtered_v_x","battery_status->voltage_filtered_v_y","battery_status->current_a_x","battery_status->current_a_y","battery_status->current_filtered_a_x","battery_status->current_filtered_a_y","actuator_controls_0->control[0]_x","actuator_controls_0->control[0]_y","actuator_controls_0->control[1]_x","actuator_controls_0->control[1]_y","actuator_controls_0->control[2]_x","actuator_controls_0->control[2]_y","actuator_controls_0->control[3]_x","actuator_controls_0->control[3]_y","vehicle_local_position->ax_x","vehicle_local_position->ax_y","vehicle_local_position->ay_x","vehicle_local_position->ay_y","vehicle_local_position->az_x","vehicle_local_position->az_y","vehicle_local_position->vx_x","vehicle_local_position->vx_y","vehicle_local_position->vy_x","vehicle_local_position->vy_y","vehicle_local_position->vz_x","vehicle_local_position->vz_y"
69.802404,146.3052368,69.75367,16.00048828,69.75367,16.09333611,69.75367,0,69.75367,0.0113094328,69.753294,-0.0013076209,69.753294,0.02701965719,69.753294,-0.6868468523,69.753294,-0,69.852278,-0.1877239347,69.852278,-0.09875739366,69.852278,-0.2144076377,69.852278,0.1732745022,69.852278,-0.09133520722,69.852278,-0.004914340563,
69.813604,146.3052368,70.255165,16.00048828,70.255165,16.0597477,70.255165,0,70.255165,0.004841013812,69.856355,0.001037537935,69.856355,0.01078036986,69.856355,-0.7077488303,69.856355,-0,69.956284,-0.7473400235,69.956284,-0.2695578933,69.956284,-0.4031975865,69.956284,0.1764479429,69.956284,-0.09520991892,69.956284,-0.004083962645,
69.825132,146.2206726,70.757552,15.74912071,70.757552,16.01032448,70.757552,1.128399968,70.757552,0.2444071025,69.960358,-0.005637643859,69.960358,0.01704226062,69.960358,-0.6891183257,69.960358,-0,70.059479,0.07259323448,70.059479,0.8110567927,70.059479,1.077637792,70.059479,0.1794688404,70.059479,-0.09621613473,70.059479,-0.0008217684808,
69.84618,146.1361237,71.259946,15.43007755,71.259946,15.888134,71.259946,4.3895998,71.259946,1.306148291,70.05956,0.0002299008192,70.05956,0.01927693188,70.05956,-0.7065488696,70.05956,-0,70.163495,-0.02145029418,70.163495,-0.6941927075,70.163495,-0.4487955868,70.163495,0.1841185242,70.163495,-0.1040631682,70.163495,-0.000799232279,
69.85721,146.2206726,71.762318,15.31406212,71.762318,15.63720322,71.762318,9.423999786,71.762318,4.36839056,70.163565,0.002502677962,70.163565,0.02293571457,70.163565,-0.6906594038,70.163565,-0,70.258694,0.9105457067,70.258694,0.1463008672,70.258694,-0.4234041274,70.258694,0.1877404898,70.258694,-0.1028793454,70.258694,-0.003923439886,
69.868052,146.9790192,72.263936,14.58896446,72.263936,15.31670761,72.263936,13.11919975,72.263936,8.093216896,70.266758,0.02740517445,70.266758,0.01178817824,70.266758,-0.7052973509,70.266758,-0,70.362678,1.419764876,70.362678,-0.2617397308,70.362678,0.9338081479,70.362678,0.1954614669,70.362678,-0.1090106741,70.362678,-0.001420946443,
69.890057,146.3052368,72.766303,14.63730431,72.766303,14.99135113,72.766303,15.3015995,72.766303,10.90740013,70.366758,0.02222228236,70.366758,0.009356893599,70.366758,-0.6925926805,70.366758,-0,70.465122,-1.579324126,70.465122,0.2467641383,70.465122,0.5025706291,70.465122,0.1961406171,70.465122,-0.1086148173,70.465122,-0.005219550803,
69.902347,146.1361237,73.268763,13.48681545,73.268763,14.71128464,73.268763,16.39280128,73.268763,12.67698383,70.469962,0.002184405457,70.469962,0.01189887524,70.469962,-0.7048362494,70.469962,-0,70.569914,1.673398733,70.569914,0.4023751915,70.569914,0.5833966732,70.569914,0.2023279965,70.569914,-0.1125918031,70.569914,-0.007192712743,
69.913128,146.812561,73.770333,14.61796856,73.770333,14.51946449,73.770333,12.64799976,73.770333,13.36630726,70.570004,-0.006360908505,70.570004,0.008856478147,70.570004,-0.6932018399,70.570004,-0,70.673078,0.3878047764,70.673078,0.1501877904,70.673078,2.018620253,70.673078,0.2089086622,70.673078,-0.1154854372,70.673078,-0.00723344367,
69.934191,146.1361237,74.272785,14.28925705,74.272785,14.51751995,74.272785,10.36639977,74.272785,11.88200092,70.673158,0.02848774567,70.673158,-0.00847200118,70.673158,-0.004404721316,70.673158,0.1201285571,70.769077,-3.210602283,70.769077,0.6214667559,70.769077,-1.866243362,70.769077,0.2035411745,70.769077,-0.1159456819,70.769077,-0.01413418818,
69.945148,146.9790192,74.773633,14.3085928,74.773633,14.50852108,74.773633,12.28840065,74.773633,11.75444221,70.773163,0.08997862786,70.773163,-0.07106344402,70.773163,0.006113317795,70.773163,0.1213671863,70.873079,-0.6444073319,70.873079,-2.67534399,70.873079,-1.415161729,70.873079,0.205757618,70.873079,-0.1223833561,70.873079,-0.01317377202,
69.956169,146.4743347,75.276728,15.02402306,75.276728,14.50855541,75.276728,11.0607996,75.276728,11.3626852,70.877198,0.191312924,70.877198,-0.07081376016,70.877198,0.001152639859,70.877198,0.1226808727,70.972309,1.40172708,70.972309,2.407133579,70.972309,0.80092448,70.972309,0.2077090293,70.972309,-0.1315186173,70.972309,-0.02321461961,
69.978057,146.812561,75.76712,14.35693264,75.76712,14.46218395,75.76712,9.833199501,75.76712,10.94693089,70.976355,0.1333287358,70.976355,-0.127740249,70.976355,0.01060674246,70.976355,0.1403527856,71.076303,6.492683411,71.076303,3.486190319,71.076303,5.233815193,71.076303,0.2051324695,71.076303,-0.1163195968,71.076303,-0.01931041852,
69.988059,146.7279968,76.269582,14.6663084,76.269582,14.44302368,76.269582,9.796000481,76.269582,11.14322758,71.080412,0.1112007499,71.080412,-0.08045704663,71.080412,0.00875152275,71.080412,0.1781109571,71.175479,11.15923309,71.175479,-3.845680475,71.175479,10.00319767,71.175479,0.2432397902,71.175479,-0.1413613558,71.175479,0.0002895402722,
69.999057,146.6434479,76.771166,14.55996037,76.771166,14.45096016,76.771166,9.944799423,76.771166,10.82244015,71.179563,0.3486379981,71.179563,-0.2594997883,71.179563,0.01002573501,71.179563,0.20959194,71.279478,3.968668461,71.279478,3.538970947,71.279478,2.912002802,71.279478,0.1856413186,71.279478,-0.1107349321,71.279478,-0.03418853134,
70.021207,146.0515747,77.273618,14.49228477,77.273618,14.4437542,77.273618,10.41600037,77.273618,10.5597887,71.283566,0.1288928539,71.283566,-0.07631320506,71.283566,0.03312957287,71.283566,0.2456704974,71.382678,-6.920901299,71.382678,0.1257311106,71.382678,-6.222533703,71.382678,0.1871125698,71.382678,-0.1313775182,71.382678,-0.04425805435,
70.032307,146.3052368,77.775865,14.55029202,77.775865,14.43542576,77.775865,9.969599724,77.775865,10.31258011,71.382793,0.1893261373,71.382793,-0.1759835184,71.382793,-0.003892409848,71.382793,0.2770683765,71.486678,23.33944511,71.486678,-3.956963539,71.486678,-8.158051491,71.486678,0.232268095,71.486678,-0.1322751194,71.486678,-0.06713172048,
70.043051,146.3897858,78.278344,14.49228477,78.278344,14.44242382,78.278344,10.40359974,78.278344,10.04511452,71.486799,-0.04466850311,71.486799,-0.2433693707,71.486799,0.05213461816,71.486799,0.3095350862,71.581885,5.108371735,71.581885,0.03931756318,71.581885,-2.861287355,71.581885,0.166473493,71.581885,-0.1093902886,71.581885,-0.09934918582,
